Request Index,Engine mount deformation,Seat deformation,Rear deformation,Front deformation,Rear tire deformation,Front tire deformation,Engine mount deformation velocity,Seat deformation velocity,Rear deformation velocity,Front deformation velocity,Rear tire deformation velocity,Front tire deformation velocity,Engine mount deformation acceleration,Seat deformation acceleration,Rear deformation acceleration,Front deformation acceleration,Rear tire deformation acceleration,Front tire deformation acceleration
0,0.004976587180853344,0.004225208004815392,-0.11336486553476363,-0.061958421251359426,-0.059041976183463685,0.07119842935702794,0.4854415526685519,-0.218246067450409,4.263118551280253,-0.8452918718740297,5.519870565194918,-6.877779028737751,-57.50370861717721,26.067499393085306,411.1522416482335,-23.32561808546776,416.02990940977975,204.09613009883992
1,0.002816830373445399,0.004215573655767996,-0.11346776143750922,-0.061917428589585766,-0.05908825616771815,0.07119771252965841,-0.3494589636571606,-0.2035433722850418,4.271068483801783,-0.8458511763453068,5.520192432484143,-6.877793365285141,-54.122350957591124,24.614580048918327,411.6304002252988,-23.249578751250763,415.50656042041754,204.09584336789212
2,0.0014941234306167783,0.004210653700754477,-0.11352062528283294,-0.061894323734660535,-0.059112020779180596,0.0711973546952303,-0.16057774410624795,0.1978059705968293,4.275247028529177,-0.8463764977736674,5.5203556857174325,-6.877800521973704,30.31436897539085,-22.765544558531115,412.10804782840387,-23.200689051191475,415.1729032880109,204.09570023412087
3,0.0009287171020118112,0.0042079848678635845,-0.11354939143249321,-0.061880741849972956,-0.059124948801291544,0.07119716281897784,-0.07691976768813552,0.20947985950697556,4.2775467138194205,-0.8467415863964203,5.520443932147177,-6.877804359498753,-17.6569364621923,-23.08641272607678,412.4396964866787,-23.17127388481955,414.97241792434784,204.09562348361987
4,0.000602338395990859,0.004206443683774139,-0.1135660320330108,-0.06187248024696753,-0.05913242620015929,0.07119705271468511,0.0458940209296399,0.21602701615946115,4.278885214306545,-0.8469801684966929,5.520494793616377,-6.877806561584608,-10.197453694697284,-23.44926803112501,412.6555705812004,-23.153351728527348,414.8502786623349,204.0955794419028
5,0.0005797032179487294,0.004206336783626349,-0.11356718704790986,-0.06187189473006546,-0.05913294516983581,0.07119704509639196,0.04387369316369438,0.21645518699770894,4.278978339514487,-0.8469974973424979,5.520498318819566,-6.877806713950471,9.676634226764174,-23.47978821128456,412.6712197736838,-23.15208309652289,414.84163247520127,204.09557639458555
6,0.0004018211851043729,0.004205496627310443,-0.1135762681522435,-0.06186723369929966,-0.059137025331585956,0.07119698530663425,0.028014919586997478,0.21963869689658708,4.279711513094989,-0.8471372823081298,5.520526012295349,-6.877807909745624,6.117057346806632,-23.745278536418535,412.79729970669865,-23.14199711102616,414.77288860489836,204.09555247868246
7,0.00030094121526408335,0.004205020110456911,-0.11358142153093143,-0.06186454195337788,-0.05913934064036199,0.07119695146163026,0.019509904698454816,0.22126909147438686,4.280128358368818,-0.8472194294959379,5.52054170991496,-6.877808586645704,-4.518424642107028,-23.91673994529747,412.8712617906455,-23.13618540274119,414.7332730287974,204.09553894068085
8,0.0002756312246761927,0.004204900550660792,-0.11358271484913979,-0.06186386096195178,-0.05913992168879487,0.07119694297730657,0.017491757909836703,0.22165440511822174,4.280233060523454,-0.8472403694653778,5.520545647430383,-6.877808756332178,-4.218641750853635,-23.966112056406896,412.8900996549392,-23.134716854072558,414.7232620662577,204.09553554695137
9,0.0001924540047741896,0.004204507621486497,-0.1135869661905426,-0.061861606711504216,-0.05914183164927608,0.07119691511503824,0.011317581234303487,0.2228456498130021,4.280577482877334,-0.8473101243807352,5.520558584908169,-6.877809313577545,3.2181665158734027,-24.15070688824002,412.95280603071905,-23.129861190671896,414.690159600871,204.09552440204405
10,0.00016436400602984347,0.004204374919183129,-0.11358840228818054,-0.0618608397132063,-0.05914247681843104,0.07119690571255483,-0.00957379299558836,0.22322010061898337,4.280693914754395,-0.8473340083484044,5.520562953178123,-6.877809501627214,2.8567409825036076,-24.2020965379866,412.9742602959399,-23.12821114305129,414.6789100627735,204.09552064105068
11,0.00013537217525733114,0.004204237953773365,-0.11358988468515757,-0.061860045029059396,-0.05914314278072947,0.07119689601188475,-0.008142162801941799,0.22359079196540615,4.280814146090129,-0.8473588330397708,5.520567461224812,-6.8778096956406145,2.4709514724089328,-24.248837361040998,412.99655077094144,-23.12650270127383,414.66726202394176,204.09551676078266
12,9.540345071265555E-05,0.004204049126061593,-0.11359192866903811,-0.06185894431855121,-0.05914406102270592,0.0711968826444723,-0.006166383836743616,0.22407432529480628,4.280980001630935,-0.8473933475334008,5.520573675330169,-6.877809962988864,1.917570150093301,-24.315391355420502,413.02752694045705,-23.12413837934048,414.6511415672385,204.09551141381766
13,9.111639721781639E-05,0.004204028872060769,-0.11359214792925809,-0.061858825899805195,-0.05914415952265923,0.07119688121110258,-0.0059543165845399315,0.22412423099888854,4.280997798359922,-0.8473970696249498,5.520574341802686,-6.877809991656258,1.856718569849365,-24.324434061643856,413.0308664169957,-23.123884159950176,414.6494081969848,204.09551084046979
14,6.67036823255307E-05,0.004203913534126441,-0.11359339659264586,-0.06185815023800638,-0.05914472046637415,0.07119687305030546,-0.004764769113317802,0.22440096204285712,4.281099168148966,-0.8474183394105922,5.520578136845705,-6.877810154872201,1.5046248754403742,-24.37650878020752,413.04994588746405,-23.12243420568503,414.63952164352753,204.09550757615094
15,4.9377635105124495E-05,0.004203831676034858,-0.11359428287068332,-0.06185766933940378,-0.0591451186107583,0.07119686726007914,-0.003940570825731626,0.2245895053962642,4.2811711384863145,-0.847433511646176,5.520580830036099,-6.877810270676727,-1.2508037402724783,-24.41406933189054,413.0635516934664,-23.121402781745132,414.6324886605321,204.0955052600604
16,4.5771924561288646E-05,0.004203814640491438,-0.11359446732210349,-0.0618575691162104,-0.059145201471907494,0.07119686605524711,-0.0037678467698695206,0.22462790662074955,4.281186118971713,-0.8474366771534418,5.520581390492489,-6.877810294773368,-1.1975771868053813,-24.421949194937632,413.06638996116476,-23.121187885393176,414.63102332396596,204.0955047781276
17,3.513110395557406E-05,0.004203740280479262,-0.11359527248128755,-0.06185713106379842,-0.05914556317245888,0.07119686079687433,-0.003009059791077573,0.2247920985483584,4.281251519518915,-0.8474505268928434,5.520583836778201,-6.877810399940823,-0.9620486770067385,-24.456600290705723,413.07880624588677,-23.120248871940667,414.6246202906514,204.0955026747785
18,3.1656075129074535E-05,0.004203712426357989,-0.11359557409424631,-0.06185696673300263,-0.05914569866509772,0.07119685882746557,-0.0027227964377232183,0.2248521501297243,4.2812760221054456,-0.8474557283467481,5.520584753076586,-6.877810439328998,-0.8724795110103458,-24.46968739731383,413.08346862585046,-23.119896716029896,414.6222189418457,204.095501887015
19,2.817180808227515E-05,0.004203684367315108,-0.11359587793312534,-0.06185680105895917,-0.059145835157385925,0.07119685684373163,-0.0024333050715753535,0.22491183381520805,4.281300707459888,-0.8474609755433289,5.520585676092611,-6.877810479003677,-0.7815076884447008,-24.48293010055429,413.08817160903334,-23.119541740138267,414.6197983441638,204.0955010935214
20,2.2949613484299358E-05,0.004203642061084797,-0.1135963360616857,-0.061856551007449884,-0.05914604096003298,0.07119685385305262,-0.001994691226653633,0.22500027235198472,4.281337931736033,-0.8474689012382219,5.520587067732189,-6.877810538817258,-0.6429284949392828,-24.503009674426416,413.0952745307863,-23.11900608769116,414.616145667186,204.0954998972498
