Time;Car linear displacement;Car angular displacement;Engine linear displacement;Driver linear displacement;Rear linear displacement;Front linear displacement;Car linear velocity;Car angular velocity;Engine linear velocity;Driver linear velocity;Rear linear velocity;Front linear velocity;Car linear acceleration;Car angular acceleration;Engine linear acceleration;Driver linear acceleration;Rear linear acceleration;Front linear acceleration;Car equivalente force;Car equivalente torque;Engine equivalente force;Driver equivalente force;Rear equivalente force;Front equivalente force
0.001;-2.45E-06;-5.26E-08;-2.45E-06;-2.45E-06;-2.44E-06;-2.44E-06;-0.004903189;-0.000105277;-0.004903125;-0.004903342;-0.004876825;-0.004884226;-9.806377618;-0.210553357;-9.806250794;-9.806683078;-9.753650778;-9.768452205;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.002;-1.23E-05;-2.69E-07;-1.23E-05;-1.23E-05;-1.21E-05;-1.35E-05;-0.014715208;-0.000327922;-0.014708598;-0.014710104;-0.014533933;-0.017163731;-9.817661763;-0.234736488;-9.804693631;-9.806841509;-9.560565127;-14.79055803;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-76.42377316
0.003;-3.19E-05;-7.35E-07;-3.19E-05;-3.19E-05;-3.14E-05;-3.94E-05;-0.024551021;-0.000604206;-0.024511826;-0.024517172;-0.023916418;-0.03471803;-9.853962409;-0.317831463;-9.801762293;-9.807295601;-9.204405166;-20.31804052;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-110.591547
0.004;-6.14E-05;-1.54E-06;-6.13E-05;-6.13E-05;-5.98E-05;-8.61E-05;-0.034438354;-0.00100057;-0.034311645;-0.034325019;-0.032872606;-0.058603561;-9.920705127;-0.474897408;-9.797876207;-9.808397863;-8.707969834;-27.45302099;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-158.2952463
0.005;-0.000100813;-2.84E-06;-0.000100489;-0.000100523;-9.68E-05;-0.000160497;-0.04441137;-0.001600657;-0.04410745;-0.044134613;-0.04127402;-0.090255883;-10.02532531;-0.725276461;-9.793733272;-9.810790621;-8.094859145;-35.85162248;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-219.4041186
0.006;-0.000150275;-4.89E-06;-0.000149492;-0.000149564;-0.000141982;-0.000271008;-0.054510932;-0.002505846;-0.053899483;-0.053947741;-0.049015838;-0.130765057;-10.17379909;-1.085101772;-9.790333478;-9.815464491;-7.388776423;-45.16672651;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-293.7506685
0.007;-0.000209922;-8.06E-06;-0.000208287;-0.000208422;-0.000194498;-0.000426829;-0.064783103;-0.003831949;-0.063689144;-0.063767377;-0.056016706;-0.180876787;-10.37054355;-1.567104007;-9.78898863;-9.823808252;-6.612959483;-55.05673311;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-381.1311175
0.008;-0.000279952;-1.28E-05;-0.000276871;-0.000277104;-0.000253615;-0.000637768;-0.075277558;-0.005705759;-0.073479292;-0.073598102;-0.062218027;-0.241001819;-10.6183667;-2.180515559;-9.791308338;-9.837641046;-5.789682602;-65.19332968;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-481.3059618
0.009;-0.000360614;-1.98E-05;-0.000355248;-0.000355627;-0.000318516;-0.000913885;-0.086045974;-0.008261549;-0.083274528;-0.083446536;-0.067582786;-0.311232573;-10.91846434;-2.931065267;-9.799162059;-9.859226163;-4.939833923;-75.26817957;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-594.0006291
0.01;-0.000452207;-2.98E-05;-0.000443426;-0.000444011;-0.000388354;-0.001265185;-0.097140436;-0.011637609;-0.093081418;-0.093321782;-0.072093988;-0.391365901;-11.27046047;-3.821055001;-9.814618117;-9.891266264;-4.082570741;-84.99847643;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-718.9062311
0.011;-0.000555083;-4.36E-05;-0.000541421;-0.00054229;-0.000462278;-0.001701333;-0.10861191;-0.015972891;-0.102908658;-0.103235855;-0.0757528;-0.480930811;-11.67248682;-4.84950845;-9.839861822;-9.93688046;-3.235053096;-94.13134321;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-855.6804103
0.012;-0.000669643;-6.23E-05;-0.000649259;-0.00065051;-0.000539442;-0.002231408;-0.120508801;-0.021403836;-0.112767137;-0.113204077;-0.078576453;-0.579220025;-12.12129629;-6.012381707;-9.877095817;-9.999564127;-2.412254185;-102.4470849;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-1003.948278
0.013;-0.000796336;-8.70E-05;-0.000766977;-0.000768734;-0.000619028;-0.002863681;-0.132875652;-0.028061439;-0.122669898;-0.123245426;-0.080596003;-0.685324233;-12.61240514;-7.302824855;-9.928426691;-10.08313282;-1.62684449;-109.761331;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-1163.303443
0.014;-0.000935649;-0.000119054;-0.000894628;-0.000897049;-0.000700253;-0.003605427;-0.145751984;-0.036068594;-0.132631982;-0.133382818;-0.081853998;-0.798167962;-13.14025783;-8.711483686;-9.995742637;-10.19165199;-0.889145035;-115.9261264;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-1333.309123
0.015;-0.001088111;-0.000159857;-0.001032279;-0.001035562;-0.000782381;-0.004462784;-0.159171317;-0.045537751;-0.142670148;-0.143643322;-0.082402142;-0.91654605;-13.69840884;-10.22683084;-10.08058747;-10.32935466;-0.207144013;-120.8300499;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-1513.499344
0.016;-0.001254277;-0.00021091;-0.001180016;-0.001184412;-0.000864732;-0.005440637;-0.173160379;-0.056568924;-0.15280246;-0.154058274;-0.082298999;-1.039159802;-14.27971551;-11.83551605;-10.18403662;-10.5005492;0.413429969;-124.3974544;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-1703.380218
0.017;-0.001434726;-0.000273819;-0.001337941;-0.001343773;-0.000946685;-0.006542542;-0.187738505;-0.069248045;-0.163047768;-0.164663308;-0.081607791;-1.164651997;-14.87653613;-13.52272588;-10.30658088;-10.70951984;0.968985484;-126.586935;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-1902.431295
0.018;-0.001630054;-0.000350266;-0.001506177;-0.001513854;-0.001027687;-0.007770688;-0.202917237;-0.08364568;-0.17342507;-0.175498279;-0.080394346;-1.291640034;-15.48092803;-15.27254395;-10.44802343;-10.96042245;1.45790466;-127.3891384;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-2110.106989
0.019;-0.001840863;-0.000441997;-0.001684866;-0.001694907;-0.001107246;-0.009125882;-0.218700121;-0.099816104;-0.18395278;-0.18660708;-0.078725221;-1.418746619;-16.08484056;-17.06830378;-10.60739542;-11.25717822;1.880346558;-126.8240334;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-2325.838075
0.02;-0.002067754;-0.000550803;-0.001874166;-0.001887229;-0.001184942;-0.010607569;-0.235082691;-0.11779672;-0.194647925;-0.198037353;-0.076666034;-1.544627516;-16.68029856;-18.89292707;-10.78289479;-11.60336785;2.238025779;-124.9377602;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-2549.03325
0.021;-0.002311322;-0.000678505;-0.002074253;-0.002091168;-0.001260415;-0.012213881;-0.252052626;-0.137607804;-0.205525298;-0.209840101;-0.074280034;-1.667995986;-17.25957235;-20.72924174;-10.97185218;-12.00212875;2.533974399;-121.7991787;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-2779.080751
0.022;-0.002572143;-0.000826935;-0.002285314;-0.002307122;-0.001333368;-0.0139417;-0.269590078;-0.159252562;-0.216596588;-0.222069194;-0.0716269;-1.787643688;-17.81533101;-22.5602745;-11.17072703;-12.4560577;2.772294992;-117.4962268;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-3015.350035
0.023;-0.002850773;-0.00099792;-0.002507547;-0.002535547;-0.001403563;-0.015786751;-0.287668132;-0.182717457;-0.227869519;-0.234780783;-0.068761796;-1.9024579;-18.34077633;-24.36951452;-11.37513565;-12.96712104;2.957911986;-112.1321954;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-3257.193502
0.024;-0.003147733;-0.001193266;-0.002741155;-0.002776954;-0.001470811;-0.017743698;-0.306253398;-0.207972786;-0.239347043;-0.248032631;-0.065734676;-2.011435007;-18.82975553;-26.14114517;-11.57991228;-13.53657437;3.096327996;-105.8220191;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-3503.948278
0.025;-0.003463513;-0.001414739;-0.002986342;-0.003031912;-0.001534973;-0.01980626;-0.325306701;-0.23497348;-0.251026601;-0.261883365;-0.062589817;-2.11369035;-19.27685145;-27.8602422;-11.77920252;-14.16489359;3.193391036;-98.68866824;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-3754.938024
0.026;-0.003798559;-0.001664055;-0.003243305;-0.003301049;-0.001595951;-0.021967338;-0.344783852;-0.26366007;-0.262899496;-0.276391671;-0.059365582;-2.208464544;-19.67744976;-29.51293751;-11.96658778;-14.85171839;3.255077687;-90.85971877;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-4009.474796
0.027;-0.004153269;-0.001942865;-0.00351223;-0.003585053;-0.001653681;-0.024219133;-0.364636468;-0.293959813;-0.274950409;-0.291615435;-0.056094395;-2.295126486;-20.02778303;-31.08654854;-12.13523776;-15.5958096;3.287296441;-82.46416478;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-4266.860925
0.028;-0.004527993;-0.002252739;-0.003793284;-0.003884666;-0.00170813;-0.026553283;-0.384812836;-0.325787924;-0.287157071;-0.30761085;-0.05280289;-2.37317333;-20.32495253;-32.56967391;-12.27808734;-16.39502095;3.295714528;-73.62952428;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-4526.390934
0.029;-0.004923029;-0.002595158;-0.004086607;-0.004200687;-0.001759287;-0.028960984;-0.405258776;-0.35904889;-0.299490131;-0.324431504;-0.049512227;-2.442227732;-20.5669287;-33.95225699;-12.38803291;-17.24628576;3.285610615;-64.47927826;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-4787.353469
0.03;-0.005338618;-0.002971501;-0.004392309;-0.004533967;-0.001807163;-0.031433114;-0.425918507;-0.393637828;-0.311913219;-0.342127456;-0.046238544;-2.502032706;-20.752532;-35.22561895;-12.45814249;-18.14561881;3.261754892;-55.13067004;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-5049.03325
0.031;-0.005774945;-0.003383041;-0.004710457;-0.004885403;-0.001851779;-0.033960353;-0.446735471;-0.429441869;-0.324383227;-0.360744332;-0.042993508;-2.552444481;-20.88139615;-36.38246413;-12.48187339;-19.08813307;3.228317166;-45.69288074;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-5310.713031
0.032;-0.006232139;-0.003830933;-0.005041074;-0.005255936;-0.001893168;-0.036533287;-0.467653127;-0.466341531;-0.336850809;-0.380322434;-0.039784948;-2.593423714;-20.95391593;-37.41686005;-12.45329063;-20.06807108;3.18880281;-36.26558596;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-5571.675566
0.033;-0.006710274;-0.004316209;-0.00538413;-0.005646545;-0.001931369;-0.039142511;-0.488615676;-0.504212059;-0.349261094;-0.400895895;-0.036617539;-2.625025452;-20.97118216;-38.32419529;-12.36727899;-21.07885013;3.146015654;-26.93788897;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-5831.205575
0.034;-0.007209366;-0.004839778;-0.005739538;-0.006058239;-0.001966425;-0.041778718;-0.50956872;-0.542924716;-0.361554604;-0.42249188;-0.033493508;-2.647388205;-20.93490635;-39.10111827;-12.21974188;-22.11312038;3.102046272;-17.78761714;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-6088.591704
0.035;-0.00772938;-0.005402414;-0.00610715;-0.00649205;-0.001998378;-0.044432773;-0.530459842;-0.582348005;-0.373668365;-0.445129858;-0.030413343;-2.660722494;-20.84733798;-39.74546007;-12.00778012;-23.16283495;3.058283532;-8.880960778;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-6343.128476
0.036;-0.00827023;-0.006004763;-0.006486752;-0.006949025;-0.002027273;-0.047095784;-0.5512391;-0.622348807;-0.385537177;-0.46882094;-0.027376478;-2.665299188;-20.71117667;-40.25614446;-11.72984422;-24.21933051;3.015446851;-0.272427419;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-6594.118222
0.037;-0.008831779;-0.006647334;-0.006878069;-0.00743022;-0.002053152;-0.049759153;-0.571859429;-0.662793423;-0.397095027;-0.493567314;-0.024381937;-2.661437942;-20.52948232;-40.63308829;-11.38585474;-25.27341712;2.97363623;7.994920226;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-6840.872998
0.038;-0.009413847;-0.007330505;-0.007280754;-0.007936684;-0.002076058;-0.05241462;-0.592276963;-0.703548515;-0.408276597;-0.519361761;-0.02142892;-2.649495992;-20.30558521;-40.87709519;-10.97728561;-26.31547581;2.932396881;15.88897821;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-7082.716465
0.039;-0.010016211;-0.00805452;-0.007694402;-0.008469459;-0.002096031;-0.055054297;-0.612451255;-0.744481935;-0.419018843;-0.54618728;-0.018517324;-2.629857551;-20.0429986;-40.98974517;-10.50720693;-27.33556226;2.890795167;23.38790506;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-7318.985749
0.04;-0.010638609;-0.008819493;-0.008118543;-0.009029561;-0.002113113;-0.057670687;-0.632345422;-0.78546345;-0.429262589;-0.574016818;-0.015648175;-2.602923971;-19.74533565;-40.97328303;-9.980284395;-28.3235151;2.847502492;30.47925438;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-7549.03325
0.041;-0.011280745;-0.009625407;-0.008552651;-0.009617976;-0.002127349;-0.060256702;-0.651926206;-0.826365345;-0.438954098;-0.602813109;-0.012823982;-2.569104856;-19.41623242;-40.83050755;-9.402734185;-29.26906712;2.800883868;37.15897566;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-7772.228425
0.042;-0.01194229;-0.010472121;-0.008996151;-0.010235647;-0.002138786;-0.062805659;-0.671163961;-0.86706293;-0.448046582;-0.632528622;-0.010048996;-2.528810207;-19.05927828;-40.56466377;-8.782233232;-30.16195791;2.749088027;43.43032175;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-7987.959511
0.043;-0.012622889;-0.01135937;-0.009448426;-0.010883464;-0.002147475;-0.065311286;-0.690032578;-0.907434932;-0.456501592;-0.663105624;-0.007329384;-2.482443697;-18.67795481;-40.17934005;-8.127786226;-30.9920464;2.69013618;49.30269982;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-8195.635205
